date,game_id,season,neutral,playoff,home,away,elo1_pre_home,elo2_pre_away,home_score,away_score
29-11-2021,313,2022,0,,LAC,NOP,1554.529669,1421.950555,104,123
30-11-2021,314,2022,0,,BRK,NYK,1606.129913,1519.988554,112,110
30-11-2021,315,2022,0,,TOR,MEM,1478.385585,1455.914474,91,98
30-11-2021,316,2022,0,,PHO,GSW,1703.306052,1662.012728,104,96
30-11-2021,317,2022,0,,SAC,LAL,1427.161489,1469.102781,92,117
30-11-2021,318,2022,0,,POR,DET,1562.532732,1333.342624,110,92
01-12-2021,319,2022,0,,ORL,DEN,1298.564281,1548.841747,108,103
01-12-2021,320,2022,0,,WAS,MIN,1506.263601,1495.464296,115,107
01-12-2021,321,2022,0,,IND,ATL,1512.249314,1573.863504,111,114
01-12-2021,322,2022,0,,MIA,CLE,1574.639376,1459.545737,85,111
01-12-2021,323,2022,0,,BOS,PHI,1514.256373,1580.245055,88,87
01-12-2021,324,2022,0,,NOP,DAL,1452.726031,1514.03102,107,139
01-12-2021,325,2022,0,,OKC,HOU,1308.755362,1308.917139,110,114
01-12-2021,326,2022,0,,MIL,CHO,1627.30747,1496.91729,127,125
01-12-2021,327,2022,0,,LAC,SAC,1523.754192,1403.726866,115,124
02-12-2021,328,2022,0,,TOR,MIL,1465.901148,1629.019255,97,93
02-12-2021,329,2022,0,,NYK,CHI,1517.842733,1548.569132,115,119
02-12-2021,330,2022,0,,MEM,OKC,1468.398911,1299.959534,152,79
02-12-2021,331,2022,0,,PHO,DET,1708.317498,1330.191795,114,103
02-12-2021,332,2022,0,,POR,SAS,1565.68356,1445.721405,83,114
03-12-2021,333,2022,0,,IND,MIA,1505.84692,1537.713053,104,113
03-12-2021,334,2022,0,,WAS,CLE,1512.030603,1496.472061,101,116
03-12-2021,335,2022,0,,ATL,PHI,1580.265898,1576.694173,96,98
03-12-2021,336,2022,0,,BRK,MIN,1608.275734,1489.697294,110,105
03-12-2021,337,2022,0,,HOU,ORL,1317.712967,1309.822413,118,116
03-12-2021,338,2022,0,,DAL,NOP,1540.305281,1426.451771,91,107
